invoiceNo,invoiceDate,customerName,customerGstin,taxableValue,gstRate,cgst,sgst,igst,amount,description
INV-2024-001,2024-04-01,Acme Industries Ltd,27AABCA1234A1Z5,100000,18,9000,9000,3,118000,Software Services
INV-2024-002,2024-04-03,Tech Solutions Pvt Ltd,29AACCT5678B1Z2,75000,18,6750,6750,0,88500,IT Consulting
INV-2024-003,2024-04-05,Global Traders,07AACCG9876C1Z9,50000,12,3000,3000,0,56000,Trading Services
INV-2024-004,2024-04-08,Sunrise Enterprises,33AACCS4567D1Z4,120000,18,10800,10800,0,141600,Business Consulting
INV-2024-005,2024-04-10,Blue Ocean Logistics,24AACCB2345E1Z8,85000,18,7650,7650,0,100300,Logistics Services
INV-2024-006,2024-04-12,Greenfield Manufacturing,19AACCG3456F1Z1,200000,18,18000,18000,0,236000,Manufacturing Services
INV-2024-007,2024-04-15,Prime Retailers,36AACCP7890G1Z6,45000,5,1125,1125,0,47250,Retail Supply
INV-2024-008,2024-04-18,Vision Technologies,06AACCV6543H1Z3,95000,18,8550,8550,0,112100,Software Development
INV-2024-009,2024-04-20,Elite Constructions,32AACCE4321J1Z7,175000,18,15750,15750,0,206500,Construction Services
INV-2024-010,2024-04-22,Metro Distributors,23AACCM8765K1Z5,65000,12,3900,3900,0,72800,Distribution Services
INV-2024-011,2024-04-25,Future Innovations Pvt Ltd,09AACCF1122L1Z4,140000,18,12600,12600,0,165200,Technology Services
INV-2024-012,2024-04-28,Dynamic Systems Ltd,30AACCD3344M1Z8,110000,18,9900,9900,0,129800,System Integration
