gstin,supplierName,supplierGstin,invoiceNo,invoiceDate,taxableValue,cgst,sgst,igst,totalItc,itcEligible
29ABCDE1234F1Z5,PartsSupplier Co,27AABCP1234A1Z5,PSUP-001,2024-04-02,50000,4500,4500,0,9000,true
29ABCDE1234F1Z5,Raw Materials Ltd,29AACTR5678B1Z2,RML-045,2024-04-05,80000,7200,7200,0,14400,true
29ABCDE1234F1Z5,Office Supplies Hub,07AACCOS9876C1Z9,OSH-112,2024-04-08,15000,1350,1350,0,2700,true
29ABCDE1234F1Z5,Tech Components Pvt Ltd,33AACCT4567D1Z4,TCP-078,2024-04-10,120000,10800,10800,0,21600,true
29ABCDE1234F1Z5,Logistics Partner,24AACCL2345E1Z8,LP-033,2024-04-12,30000,2700,2700,0,5400,true
29ABCDE1234F1Z5,Cloud Services Inc,19AACCS3456F1Z1,CSI-201,2024-04-15,45000,4050,4050,0,8100,true
29ABCDE1234F1Z5,Packaging Materials,36AACCP7890G1Z6,PM-067,2024-04-18,20000,1000,1000,0,2000,true
29ABCDE1234F1Z5,Equipment Rentals,06AACCE6543H1Z3,ER-089,2024-04-20,60000,5400,5400,0,10800,false
29ABCDE1234F1Z5,Software Vendor,32AACCS4321J1Z7,SV-156,2024-04-22,90000,8100,8100,0,16200,true
29ABCDE1234F1Z5,Freight Services,23AACCF8765K1Z5,FS-044,2024-04-25,25000,1250,1250,0,2500,true
